"comparison","lwr","upr","p adj"
"adeABC-EtOH-adeABC-CHL",2.90576855394671,8.2064249673866,7.20138060295028e-10
"adeIJK-EtOH-adeABC-CHL",2.84331143328005,8.14396784671993,1.11212483666634e-09
"ttg2ABC-EtOH-adeABC-CHL",2.94700921661338,8.24766563005327,5.39723377102064e-10
"znuABC-EtOH-adeABC-CHL",2.53310398361338,7.83376039705327,9.42456013230952e-09
"adeABC-GLU-adeABC-CHL",2.69453024594671,7.99518665938659,3.1096328845237e-09
"adeIJK-GLU-adeABC-CHL",2.67612719894672,7.9767836123866,3.52971674111302e-09
"ttg2ABC-GLU-adeABC-CHL",3.10865573194672,8.4093121453866,1.70675806820952e-10
"znuABC-GLU-adeABC-CHL",2.53517670294672,7.8358331163866,9.29165955287914e-09
"adeABC-HClO-adeABC-CHL",2.75666962728005,8.05732604071993,2.02578842589674e-09
"adeIJK-HClO-adeABC-CHL",2.58673741894672,7.8873938323866,6.52442144755128e-09
"ttg2ABC-HClO-adeABC-CHL",3.11332464861338,8.41398106205327,1.64959268467157e-10
"znuABC-HClO-adeABC-CHL",2.80842337328005,8.10907978671993,1.41636780082166e-09
"adeABC-PVPi-adeABC-CHL",2.70351252628005,8.00416893971994,2.92304358495699e-09
"adeIJK-PVPi-adeABC-CHL",2.79399601694672,8.0946524303866,1.56511870130771e-09
"ttg2ABC-PVPi-adeABC-CHL",3.05536053328005,8.35601694671993,2.50705234350335e-10
"znuABC-PVPi-adeABC-CHL",2.48015421728005,7.78081063071993,1.35422263403129e-08
"adeABC-TRC-adeABC-CHL",1.67971501361337,6.98037142705325,2.95486303736325e-06
"ttg2ABC-TRC-adeABC-CHL",1.52929343528005,6.82994984871993,7.89708632420449e-06
"znuABC-TRC-adeABC-CHL",1.86320430194672,7.1638607153866,8.77239037300193e-07
"ttg2ABC-CHL-adeIJK-CHL",1.42777319294672,6.7284296063866,1.52191906632737e-05
"znuABC-CHL-adeIJK-CHL",3.62087663428005,8.92153304771993,0
"adeABC-CRL-adeIJK-CHL",1.28076772161338,6.58142413505326,3.88816082608212e-05
"ttg2ABC-CRL-adeIJK-CHL",0.670978111280051,5.97163452471993,0.00155635251990194
"znuABC-CRL-adeIJK-CHL",1.08646257761338,6.38711899105327,0.000130986157574897
"adeABC-CTAB-adeIJK-CHL",1.14888688828005,6.44954330171994,8.8969529641103e-05
"adeIJK-CTAB-adeIJK-CHL",1.59683234094672,6.8974887543866,5.08674890853378e-06
"ttg2ABC-CTAB-adeIJK-CHL",2.80221703994672,8.1028734533866,1.47855461207769e-09
"znuABC-CTAB-adeIJK-CHL",1.83922091794672,7.1398773313866,1.02902554410811e-06
"adeABC-EtOH-adeIJK-CHL",1.76194254861338,7.06259896205326,1.71795996140034e-06
"adeIJK-EtOH-adeIJK-CHL",1.69948542794672,7.0001418413866,2.59441414518502e-06
"ttg2ABC-EtOH-adeIJK-CHL",1.80318321128005,7.10383962471993,1.30728193159513e-06
"znuABC-EtOH-adeIJK-CHL",1.38927797828005,6.68993439171993,1.94843996816907e-05
"adeABC-GLU-adeIJK-CHL",1.55070424061338,6.85136065405326,6.8711745446759e-06
"adeIJK-GLU-adeIJK-CHL",1.53230119361338,6.83295760705327,7.74433159678178e-06
"ttg2ABC-GLU-adeIJK-CHL",1.96482972661338,7.26548614005327,4.44962981238639e-07
"znuABC-GLU-adeIJK-CHL",1.39135069761338,6.69200711105327,1.92274087824629e-05
"adeABC-HClO-adeIJK-CHL",1.61284362194672,6.9135000353866,4.58133344050093e-06
"adeIJK-HClO-adeIJK-CHL",1.44291141361338,6.74356782705327,1.38064613712796e-05
"ttg2ABC-HClO-adeIJK-CHL",1.96949864328005,7.27015505671993,4.31259991051647e-07
"znuABC-HClO-adeIJK-CHL",1.66459736794672,6.9652537813866,3.26348452528435e-06
"adeABC-PVPi-adeIJK-CHL",1.55968652094672,6.8603429343866,6.4810091808809e-06
"adeIJK-PVPi-adeIJK-CHL",1.65017001161338,6.95082642505327,3.58763612728907e-06
"ttg2ABC-PVPi-adeIJK-CHL",1.91153452794672,7.2121909413866,6.35536500315226e-07
"znuABC-PVPi-adeIJK-CHL",1.33632821194672,6.6369846253866,2.73249375106754e-05
"adeABC-TRC-adeIJK-CHL",0.535889008280037,5.83654542171992,0.00332725134636447
"ttg2ABC-TRC-adeIJK-CHL",0.385467429946717,5.6861238433866,0.00750978354269372
"znuABC-TRC-adeIJK-CHL",0.719378296613384,6.02003471005327,0.00117839689194299
"adeIJK-CRL-znuABC-CHL",-7.26918462005327,-1.96852820661339,4.34073271549096e-07
"ttg2ABC-CRL-znuABC-CHL",-5.60022672971994,-0.299570316280056,0.0117532160581209
"adeABC-TRC-znuABC-CHL",-5.73531583271995,-0.43465941928007,0.00577749354128088
"adeIJK-TRC-znuABC-CHL",-7.43702250105327,-2.13636608761339,1.40309156515528e-07
"ttg2ABC-TRC-znuABC-CHL",-5.88573741105327,-0.58508099761339,0.0025305202645115
"znuABC-TRC-znuABC-CHL",-5.55182654438661,-0.251170130946723,0.0150381568361891
"ttg2ABC-CTAB-adeIJK-CRL",1.14986861228006,6.45052502571994,8.84275981076765e-05
"znuABC-CTAB-adeIJK-CRL",0.186872490280055,5.48752890371994,0.0207174963492733
"adeABC-EtOH-adeIJK-CRL",0.109594120946717,5.4102505343866,0.0301075460448392
"adeIJK-EtOH-adeIJK-CRL",0.0471370002800535,5.34779341371994,0.0403377651335639
"ttg2ABC-EtOH-adeIJK-CRL",0.150834783613388,5.45149119705327,0.0247017511622145
"ttg2ABC-GLU-adeIJK-CRL",0.312481298946722,5.6131377123866,0.0109972309021931
"ttg2ABC-HClO-adeIJK-CRL",0.317150215613388,5.61780662905327,0.0107351841550912
"znuABC-HClO-adeIJK-CRL",0.0122489402800552,5.31290535371994,0.0473107051484344
"ttg2ABC-PVPi-adeIJK-CRL",0.259186100280056,5.55984251371994,0.014441105062171
"adeIJK-TRC-adeIJK-CTAB",-5.41297820771994,-0.112321794280059,0.029719426445402
"adeIJK-TRC-ttg2ABC-CTAB",-6.61836290671994,-1.31770649328006,3.0761622391573e-05
"adeIJK-TRC-znuABC-CTAB",-5.65536678471994,-0.354710371280059,0.00882941709720741
"adeIJK-TRC-adeABC-EtOH",-5.5780884153866,-0.277432001946721,0.013162973327153
"adeIJK-TRC-adeIJK-EtOH",-5.51563129471994,-0.214974881280058,0.0180286256905763
"adeIJK-TRC-ttg2ABC-EtOH",-5.61932907805328,-0.318672664613392,0.0106510016620741
"adeIJK-TRC-adeABC-GLU",-5.3668501073866,-0.0661936939467189,0.036928456038275
"adeIJK-TRC-adeIJK-GLU",-5.34844706038661,-0.0477906469467251,0.0402163345852371
"adeIJK-TRC-ttg2ABC-GLU",-5.78097559338661,-0.480319179946726,0.0045133502573298
"adeIJK-TRC-adeABC-HClO",-5.42898948871994,-0.128333075280059,0.0275309247719577
"adeIJK-TRC-ttg2ABC-HClO",-5.78564451005328,-0.484988096613392,0.00440000044877686
"adeIJK-TRC-znuABC-HClO",-5.48074323471994,-0.180086821280059,0.021419569251288
"adeIJK-TRC-adeABC-PVPi",-5.37583238771994,-0.0751759742800604,0.0354126516904965
"adeIJK-TRC-adeIJK-PVPi",-5.46631587838661,-0.165659464946726,0.0229850767880806
"adeIJK-TRC-ttg2ABC-PVPi",-5.72768039471994,-0.42702398128006,0.0060190893226465
