comparison,lwr,upr,p adj
znuB-adeS,-1.020315023,3.533927516,0.968293039
BAL062_00181-adeS,-1.007760623,3.546481916,0.964082339
znuC-adeS,-0.998268981,3.555973559,0.96062852
BAL062_01982-adeS,-0.876692335,3.677550204,0.892441916
hmrR_2-adeS,-0.856067382,3.698175157,0.876035391
ytfL-adeS,-0.743001454,3.811241085,0.761542711
actP_3-adeS,-0.70799044,3.846252099,0.718861666
BAL062_01495-adeS,-0.268297444,4.285945096,0.187877255
adeA-adeJ,-2.164993745,2.389248795,1
adeI-adeJ,-1.941599554,2.612642985,1
corA_1-adeJ,-1.933586782,2.620655757,1
adeR-adeJ,-1.782468792,2.771773748,1
adeC-adeJ,-1.758697574,2.795544966,1
BAL062_03669-adeJ,-1.718469372,2.835773168,0.999999999
feoB-adeJ,-1.652698626,2.901543913,0.999999974
BAL062_00226-adeJ,-1.591609317,2.962633223,0.999999732
yadH-adeJ,-1.576980235,2.977262305,0.999999551
czcA_1-adeJ,-1.438966935,3.115275605,0.999972029
yccS_2-adeJ,-1.360446808,3.193795732,0.999821572
ttg2A-adeJ,-1.342217241,3.212025298,0.999737247
acrR_1-adeJ,-1.338653961,3.215588579,0.999717099
mlaC-adeJ,-1.292341899,3.261900641,0.999297181
ttg2C-adeJ,-1.280048946,3.274193593,0.999118502
mdtA-adeJ,-1.279156878,3.275085661,0.999104104
znuA-adeJ,-1.277967415,3.276275124,0.999084583
yadG-adeJ,-1.251687972,3.302554567,0.998546755
zur-adeJ,-1.161100013,3.393142526,0.994093595
ttg2B-adeJ,-1.11769005,3.436552489,0.989478291
znuB-adeJ,-1.105767659,3.44847488,0.987789793
BAL062_00181-adeJ,-1.093213259,3.46102928,0.985780052
znuC-adeJ,-1.083721617,3.470520923,0.984089989
BAL062_01982-adeJ,-0.962144971,3.592097568,0.945193525
hmrR_2-adeJ,-0.941520019,3.612722521,0.934637035
ytfL-adeJ,-0.82845409,3.725788449,0.851809375
actP_3-adeJ,-0.793443076,3.760799463,0.817486664
BAL062_01495-adeJ,-0.35375008,4.200492459,0.265938874
adeI-adeA,-2.053727079,2.50051546,1
corA_1-adeA,-2.045714307,2.508528233,1
adeR-adeA,-1.894596317,2.659646223,1
adeC-adeA,-1.870825099,2.683417441,1
BAL062_03669-adeA,-1.830596897,2.723645643,1
feoB-adeA,-1.764826151,2.789416388,1
BAL062_00226-adeA,-1.703736842,2.850505698,0.999999997
yadH-adeA,-1.689107759,2.86513478,0.999999995
czcA_1-adeA,-1.551094459,3.00314808,0.999998924
yccS_2-adeA,-1.472574333,3.081668207,0.999988565
ttg2A-adeA,-1.454344766,3.099897774,0.999981274
acrR_1-adeA,-1.450781486,3.103461054,0.999979425
mlaC-adeA,-1.404469424,3.149773116,0.999934364
ttg2C-adeA,-1.392176471,3.162066068,0.999912379
mdtA-adeA,-1.391284403,3.162958136,0.999910549
znuA-adeA,-1.39009494,3.1641476,0.999908055
yadG-adeA,-1.363815497,3.190427042,0.999834168
zur-adeA,-1.273227538,3.281015002,0.999003031
ttg2B-adeA,-1.229817575,3.324424965,0.997907025
znuB-adeA,-1.217895184,3.336347355,0.997465115
BAL062_00181-adeA,-1.205340784,3.348901755,0.996915266
znuC-adeA,-1.195849142,3.358393398,0.996434542
BAL062_01982-adeA,-1.074272496,3.479970043,0.982251172
hmrR_2-adeA,-1.053647544,3.500594996,0.977649639
ytfL-adeA,-0.940581615,3.613660924,0.934125021
actP_3-adeA,-0.905570601,3.648671938,0.912975139
BAL062_01495-adeA,-0.465877605,4.088364934,0.394742571
corA_1-adeI,-2.269108497,2.285134042,1
adeR-adeI,-2.117990507,2.436252032,1
adeC-adeI,-2.094219289,2.46002325,1
BAL062_03669-adeI,-2.053991087,2.500251452,1
feoB-adeI,-1.988220342,2.566022198,1
BAL062_00226-adeI,-1.927131032,2.627111507,1
yadH-adeI,-1.91250195,2.64174059,1
czcA_1-adeI,-1.77448865,2.779753889,1
yccS_2-adeI,-1.695968523,2.858274016,0.999999996
ttg2A-adeI,-1.677738957,2.876503583,0.999999991
acrR_1-adeI,-1.674175676,2.880066863,0.99999999
mlaC-adeI,-1.627863614,2.926378925,0.999999931
ttg2C-adeI,-1.615570662,2.938671878,0.999999889
mdtA-adeI,-1.614678594,2.939563946,0.999999885
znuA-adeI,-1.61348913,2.940753409,0.99999988
yadG-adeI,-1.587209688,2.967032852,0.999999686
zur-adeI,-1.496621729,3.057620811,0.999994214
ttg2B-adeI,-1.453211766,3.101030774,0.999980703
znuB-adeI,-1.441289375,3.112953165,0.999973651
BAL062_00181-adeI,-1.428734975,3.125507565,0.999963736
znuC-adeI,-1.419243332,3.134999207,0.999954094
BAL062_01982-adeI,-1.297666687,3.256575853,0.999364078
hmrR_2-adeI,-1.277041734,3.277200805,0.999069133
ytfL-adeI,-1.163975806,3.390266734,0.994326853
actP_3-adeI,-1.128964792,3.425277748,0.99089423
BAL062_01495-adeI,-0.689271796,3.864970744,0.694987951
adeR-corA_1,-2.12600328,2.42823926,1
adeC-corA_1,-2.102232062,2.452010478,1
BAL062_03669-corA_1,-2.06200386,2.49223868,1
feoB-corA_1,-1.996233114,2.558009425,1
BAL062_00226-corA_1,-1.935143805,2.619098735,1
yadH-corA_1,-1.920514722,2.633727817,1
czcA_1-corA_1,-1.782501422,2.771741117,1
yccS_2-corA_1,-1.703981296,2.850261244,0.999999997
ttg2A-corA_1,-1.685751729,2.868490811,0.999999994
acrR_1-corA_1,-1.682188449,2.872054091,0.999999993
mlaC-corA_1,-1.635876386,2.918366153,0.999999949
ttg2C-corA_1,-1.623583434,2.930659105,0.999999918
mdtA-corA_1,-1.622691366,2.931551174,0.999999915
znuA-corA_1,-1.621501903,2.932740637,0.999999911
yadG-corA_1,-1.59522246,2.959020079,0.999999764
zur-corA_1,-1.504634501,3.049608039,0.999995426
ttg2B-corA_1,-1.461224538,3.093018002,0.999984419
znuB-corA_1,-1.449302147,3.104940392,0.999978609
BAL062_00181-corA_1,-1.436747747,3.117494792,0.999970394
znuC-corA_1,-1.427256105,3.126986435,0.999962367
BAL062_01982-corA_1,-1.305679459,3.24856308,0.999454144
hmrR_2-corA_1,-1.285054506,3.269188033,0.999195583
ytfL-corA_1,-1.171988578,3.382253961,0.994936341
actP_3-corA_1,-1.136977564,3.417264975,0.991801845
BAL062_01495-corA_1,-0.697284568,3.856957972,0.705287316
adeC-adeR,-2.253350052,2.300892488,1
BAL062_03669-adeR,-2.21312185,2.34112069,1
feoB-adeR,-2.147351104,2.406891435,1
BAL062_00226-adeR,-2.086261795,2.467980745,1
yadH-adeR,-2.071632712,2.482609827,1
czcA_1-adeR,-1.933619412,2.620623127,1
yccS_2-adeR,-1.855099286,2.699143254,1
ttg2A-adeR,-1.836869719,2.717372821,1
acrR_1-adeR,-1.833306439,2.720936101,1
mlaC-adeR,-1.786994377,2.767248163,1
ttg2C-adeR,-1.774701424,2.779541115,1
mdtA-adeR,-1.773809356,2.780433183,1
znuA-adeR,-1.772619893,2.781622647,1
yadG-adeR,-1.74634045,2.807902089,1
zur-adeR,-1.655752491,2.898490049,0.999999977
ttg2B-adeR,-1.612342528,2.941900012,0.999999875
znuB-adeR,-1.600420137,2.953822402,0.999999805
BAL062_00181-adeR,-1.587865737,2.966376802,0.999999693
znuC-adeR,-1.578374095,2.975868445,0.999999572
BAL062_01982-adeR,-1.456797449,3.09744509,0.999982456
hmrR_2-adeR,-1.436172497,3.118070043,0.999969957
ytfL-adeR,-1.323106568,3.231135971,0.999612055
actP_3-adeR,-1.288095554,3.266146985,0.999239455
BAL062_01495-adeR,-0.848402558,3.705839981,0.869568658
BAL062_03669-adeC,-2.236893068,2.317349472,1
feoB-adeC,-2.171122322,2.383120217,1
BAL062_00226-adeC,-2.110033013,2.444209527,1
yadH-adeC,-2.09540393,2.458838609,1
czcA_1-adeC,-1.95739063,2.596851909,1
yccS_2-adeC,-1.878870504,2.675372036,1
ttg2A-adeC,-1.860640937,2.693601603,1
acrR_1-adeC,-1.857077657,2.697164883,1
mlaC-adeC,-1.810765595,2.743476945,1
ttg2C-adeC,-1.798472642,2.755769897,1
mdtA-adeC,-1.797580574,2.756661965,1
znuA-adeC,-1.796391111,2.757851429,1
yadG-adeC,-1.770111668,2.784130871,1
zur-adeC,-1.679523709,2.874718831,0.999999992
ttg2B-adeC,-1.636113746,2.918128794,0.99999995
znuB-adeC,-1.624191355,2.930051184,0.99999992
BAL062_00181-adeC,-1.611636955,2.942605584,0.999999871
znuC-adeC,-1.602145313,2.952097227,0.999999817
BAL062_01982-adeC,-1.480568667,3.073673872,0.999990847
hmrR_2-adeC,-1.459943715,3.094298825,0.999983873
ytfL-adeC,-1.346877786,3.207364753,0.999761655
actP_3-adeC,-1.311866772,3.242375767,0.999515755
BAL062_01495-adeC,-0.872173776,3.682068763,0.888971889
feoB-BAL062_03669,-2.211350524,2.342892015,1
BAL062_00226-BAL062_03669,-2.150261215,2.403981325,1
yadH-BAL062_03669,-2.135632132,2.418610407,1
czcA_1-BAL062_03669,-1.997618833,2.556623707,1
yccS_2-BAL062_03669,-1.919098706,2.635143834,1
ttg2A-BAL062_03669,-1.900869139,2.6533734,1
acrR_1-BAL062_03669,-1.897305859,2.656936681,1
mlaC-BAL062_03669,-1.850993797,2.703248743,1
ttg2C-BAL062_03669,-1.838700844,2.715541695,1
mdtA-BAL062_03669,-1.837808776,2.716433763,1
znuA-BAL062_03669,-1.836619313,2.717623227,1
yadG-BAL062_03669,-1.81033987,2.743902669,1
zur-BAL062_03669,-1.719751911,2.834490628,0.999999999
ttg2B-BAL062_03669,-1.676341948,2.877900591,0.999999991
znuB-BAL062_03669,-1.664419557,2.889822982,0.999999984
BAL062_00181-BAL062_03669,-1.651865157,2.902377382,0.999999973
znuC-BAL062_03669,-1.642373515,2.911869025,0.999999961
BAL062_01982-BAL062_03669,-1.520796869,3.03344567,0.999997189
hmrR_2-BAL062_03669,-1.500171917,3.054070623,0.999994784
ytfL-BAL062_03669,-1.387105988,3.167136551,0.999901508
actP_3-BAL062_03669,-1.352094974,3.202147565,0.999786551
BAL062_01495-BAL062_03669,-0.912401978,3.641840561,0.91741989
BAL062_00226-feoB,-2.21603196,2.338210579,1
yadH-feoB,-2.201402878,2.352839662,1
czcA_1-feoB,-2.063389578,2.490852962,1
yccS_2-feoB,-1.984869451,2.569373088,1
ttg2A-feoB,-1.966639884,2.587602655,1
acrR_1-feoB,-1.963076604,2.591165935,1
mlaC-feoB,-1.916764542,2.637477997,1
ttg2C-feoB,-1.90447159,2.64977095,1
mdtA-feoB,-1.903579522,2.650663018,1
znuA-feoB,-1.902390058,2.651852481,1
yadG-feoB,-1.876110616,2.678131924,1
zur-feoB,-1.785522656,2.768719883,1
ttg2B-feoB,-1.742112693,2.812129846,1
znuB-feoB,-1.730190303,2.824052237,0.999999999
BAL062_00181-feoB,-1.717635903,2.836606637,0.999999999
znuC-feoB,-1.70814426,2.846098279,0.999999998
BAL062_01982-feoB,-1.586567615,2.967674925,0.999999679
hmrR_2-feoB,-1.565942662,2.988299877,0.999999344
ytfL-feoB,-1.452876734,3.101365806,0.999980531
